 Baeay,House
 Mataeom,Sharp
 Abaga,Shoulder
 Abante,Forward
 Alima,Hand
 Eugta,Ground/land/lot
 Tudlo,Fingers
 Adlaw - adlaw,Everyday
 Baraka,Store
 Ihapon,Dinner
 Makaron,Today
 Ilabas,Lunch
 Eambong,Clothes
 Bueak,Flower
 Buean,Moon
 Damgo,Dream
  Idaeom,Under
  Maaeam,Smart
  Sampae,Slap
 Sueat,Write
 Sudlay,Comb
 Tangis,Cry
 Duyan,Cradle
 Gaob,Bruise
 Eapog,Throw
 Buesa,Pocket
 Bubong,Roof
 Hueat,Wait
 Hueag,Movement
 Katre,Bed
 Abaniko,Fan
 Abtik,Agile
 Akon,Mine
 Anwang,Carabao
 Aslom,Sour
 Matam-is,Sweet
 Baeahibo,Fur
 Baeunan,Lunch Box
 Abot,Reach
 Baeas,Sand
 Balintong,Fell
 Banig,Mat
 Bu-oe,Take
 Bugkos,Tie
 Dungan/Dueungan,Unison
 Eangoy,Swim
 Eansang,Nail
 Eapad,Width
 Gwantes,Gloves
 Haboe,Blanket
 Kamiseta,Shirt
 Dueunggan,Ears
 Pamahaw,Breakfast
 Tueop,Punch
 Daeagan,Run
 Manggaranon,Rich
 Pobre,Poor
 Eapsag,Baby
 Miron,Young man
 Daeaga,Young woman
 Tukar,Playing music/ instrument
 Siki,Foot
 Ilukon,Armpit/underarm
 Gwapa,Pretty
 Bueutangan,Container
 Madasig,Fast
 Tanom,Plant
 Euwag,Ladle
 Hin-aga,Tomorrow
 Pirmi,Always
 Kwarta,Money
 Ngipon,Tooth
  Pahumot,Cologne
 Ginikanan,Parents
 Baybay,Sea/ocean
 Ayam,Dog
 Kuring,Cat
 Tawo,Human
 Ngisi,Smile
 Hibayag,Laugh
 Sangag,Noise
 Siyaw,Knife
 Pirtahan,Door
 Kaeo,Hat
 Humay,Rice
 Kimpit,Clip
 Hambae,Say
 Baeatong,Mung beans
 Buy-on,Belly fat
 Panit,Skin
 Hutik,Whisper
 Nahueog,Fell
 Ngaean,Name
 Pispis,Bird
 Ba-ba,Mouth
 Silhig,Broom
 Kaeos,Scratch
 Gisi,Torn
 Bakae,Buy
 Unga,Child
